media;pays_siege;theme_media;note;indice_fiabilite
National News Desk;United States;Politique américaine;5;5
Natural Gas Intelligence;United States;Business;5;5
Nature;United Kingdom;Tech;5;5
Network World;United States;Généraliste;5;5
New African Magazine;United Kingdom;Généraliste;5;5
New Jersey 101.5;United States;Local/Régional;5;5
New Lines Institute;United States;Tensions/guerre/violences/géopolitique;5;5
New York Post;United States;Généraliste;5;5
Newcomer St. Louis;United States;Local/Régional;5;5
News (English) - World Health Organization;Switzerland;Politique;5;5
News On AIR;India;Généraliste;5;5
News and Sentinel;United States;Généraliste;5;5
News24;South Africa;Généraliste;5;2
NewsChannel 10;United States;Généraliste;5;5
Newsday;United States;Généraliste;5;5
Newsmax;United States;Politique américaine;5;5
Newsonair;India;Généraliste;5;5
Newstalk KZRG;United States;Généraliste;5;5
Newsweek;United States;Généraliste;5;5
Newswise;United States;Tech;5;5
NextBigFuture.com;United States;Généraliste;5;5
Nextgov/FCW;United States;Généraliste;5;5
Nikkei Asia;Japan;Généraliste;2;1
No Film School;United States;Société/Culture/Positif;5;5
None;;;5;5
NorthcentralPA.com;United States;Local/Régional;5;5
Northern Kentucky Tribune;United States;Généraliste;5;5
Nuclear Energy Agency (NEA);France;Environnement;5;4
Nuclear Engineering International;United Kingdom;Environnement;5;5
OCHA;United States;Tensions/guerre/violences/géopolitique;5;5
OECD AI Policy Observatory;France;Tech;5;5
OPB;United States;Généraliste;5;5
OS X Daily;United States;Généraliste;5;5
Oceania Football Confederation;New Zealand;Sports;5;5
Odessa American;United States;Local/Régional;5;5
Office of the Secretary of Defense Historical Office (.gov);United States;Tensions/guerre/violences/géopolitique;5;5
OfficeChai;India;Généraliste;5;5
Oil & Gas 360;United States;Business;5;4
Oil & Gas Middle East;United Arab Emirates;Business;5;4
Oil City News;United States;Business;5;5
Oklahoma Energy Today;United States;Business;5;5
Open Doors UK & Ireland;United Kingdom;Généraliste;5;5
Open Global Rights;United States;Généraliste;5;5
Open Society Foundations;United States;Politique;5;5
OpenAI;United States;Tech;3;5
Opera Now;United Kingdom;Société/Culture/Positif;5;5
Opta Analyst;United Kingdom;Sports;5;5
Oskaloosa Herald;United States;Local/Régional;5;5
Ottumwa Courier;United States;Local/Régional;5;5
OutSports;United States;Sports;5;5
PA Department of Community & Economic Development (.gov);United States;Business;5;5
PBS;United States;Généraliste;5;5
PC Gamer;United States;Généraliste;5;5
PR Newswire;United States;Généraliste;5;5
PRWeek;United Kingdom;Généraliste;5;5
PYMNTS.com;United States;Business;5;5
Patch;United States;Généraliste;5;5
Payload Space;United States;Généraliste;5;5
Pennsylvania;United States;Généraliste;5;5
People Matters;India;Généraliste;5;5
People Matters Global;India;Généraliste;5;5
People.com;United States;Société/Culture/Positif;5;5
Personal Care Insights;United States;Généraliste;5;5
Philadelphia Union;United States;Sports;5;5
Phys.org;United States;Tech;5;5
Pineisland-eagle.com;United States;Local/Régional;5;5
Pipeline Magazine;Australia;Généraliste;5;5
Pipeline Technology Journal;Germany;Tech;5;5
Politico;United States;Politique américaine;2;2
Politics Today;Turkey;Généraliste;5;5
Premium Times Nigeria;Nigeria;Généraliste;2;2
PreventionWeb.net;Switzerland;Environnement;5;5
Pro Hockey News;United States;Sports;5;5
Proactive Investors;United Kingdom;Business;5;5
Progressive Grocer;United States;Généraliste;5;5
ProtoThema English;Greece;Généraliste;5;5
Pulse 2.0;United States;Généraliste;5;5
Pure Xbox;United Kingdom;Tech;5;5
Qatar Tribune;Qatar;Généraliste;5;5
Qazinform;Kazakhstan;Généraliste;5;5
Quiver Quantitative;United States;Généraliste;5;5
QuotedData;United Kingdom;Généraliste;5;5
R Street Institute;United States;Politique;5;5
RFI;France;Généraliste;5;5
RSF.ORG;France;Généraliste;5;5
Radio Free Europe/Radio Liberty;United States;Généraliste;5;5
Radio and Music Pros;United States;Société/Culture/Positif;5;5
Rapid City Rush;United States;Sports;5;5
Reading Eagle;United States;Local/Régional;5;5
Red Lake Nation News;United States;Généraliste;5;5
ReliefWeb;United States;Tensions/guerre/violences/géopolitique;5;5
Religion News Service;United States;Société/Culture/Positif;5;5
Renaissance Capital ETFs;United States;Business;5;5
Republic World;India;Généraliste;5;5
Resource Works;Canada;Généraliste;5;5
Resultsense;United Kingdom;Généraliste;5;5
Reuters;United Kingdom;Généraliste;1;1
Revista Merca2.0;Mexico;Généraliste;5;5
Riftbound | League of Legends Trading Card Game;United States;Business;5;5
Ripon Advance;United States;Politique américaine;5;5
Robinhood;United States;Généraliste;5;5
Rolling Out;United States;Société/Culture/Positif;5;5
RotoWire;United States;Sports;5;5
Royal Dutch Shell Plc .com;Netherlands;Généraliste;5;5
Royal United Services Institute (RUSI);United Kingdom;Tensions/guerre/violences/géopolitique;5;5
SB Nation;United States;Sports;5;5
SC Freiburg;Germany;Sports;5;5
SCC Online;India;Généraliste;5;5
SDG Knowledge Hub;United States;Généraliste;5;5
SDxCentral;United Kingdom;Généraliste;5;5
SFGATE;United States;Généraliste;5;5
SMEStreet;India;Généraliste;5;5
SRN News;United States;Généraliste;5;5
SURFER Magazine;United States;Généraliste;5;5
Sahara Reporters;Nigeria;Généraliste;5;5
Sahm;Saudi Arabia;Généraliste;5;5
Salon.com;United States;Politique américaine;5;5
Samaritan's Purse;United States;Généraliste;5;5
San Diego Union-Tribune;United States;Local/Régional;5;5
San Francisco Chronicle;United States;Généraliste;5;5
Sandboxx;United States;Tensions/guerre/violences/géopolitique;5;5
Sci.News;Australia;Tech;5;5
Scotsman Guide;United States;Business;5;5
Scripps News;United States;Généraliste;5;5
Search Engine Journal;United States;Généraliste;5;5
Search Engine Roundtable;United States;Généraliste;5;5
Security Risks Asia;India;Tensions/guerre/violences/géopolitique;5;5
SecurityWeek;United States;Tensions/guerre/violences/géopolitique;5;5
Seeking Alpha;United States;Business;5;5
Semafor;United States;Généraliste;5;5
SemiAnalysis;United States;Tech;5;5
Seoul Economic Daily;South Korea;Généraliste;5;5
Sequoia Capital;United States;Tech;2;5
Serbian Monitor;Serbia;Généraliste;5;5
Share Talk;United Kingdom;Généraliste;5;5
ShiaWaves;Iraq;Généraliste;5;5
Sifted;United Kingdom;Tech;3;5
Signal Cleveland;United States;Local/Régional;5;5
Simcoe Reformer;Canada;Généraliste;5;5
Simplilearn.com;United States;Généraliste;5;5
Sioux County Radio;United States;Local/Régional;5;5
Sky Sports;United Kingdom;Sports;5;5
SlashGear;United States;Généraliste;5;5
Soap Opera Digest;United States;Société/Culture/Positif;5;5
Social Media Today;United States;Généraliste;5;5
Social News XYZ;India;Généraliste;5;5
Sony-semicon.com;Japan;Généraliste;5;5
South China Morning Post;Hong-Kong;Généraliste;5;1
Southeast Iowa Union;United States;Local/Régional;5;5
Sports Collectors Digest;United States;Sports;5;5
Sports Illustrated;United States;Sports;5;5
Springfield News-Sun;United States;Local/Régional;5;5
Standard journal;United States;Local/Régional;5;5
Stars and Stripes;United States;Généraliste;5;5
Startup Story;India;Tech;5;5
StartupHub.ai;United States;Tech;5;5
Startupbusiness.it;Italy;Tech;5;5
Startupticker.ch;Switzerland;Tech;5;5
State Travel (.gov);United States;Politique américaine;5;5
Steelers Depot;United States;Sports;5;5
Sterling Journal-advocate;United States;Local/Régional;5;5
Stevivor;Australia;Généraliste;5;5
Stimson Center;United States;Tensions/guerre/violences/géopolitique;3;2
Stock Titan;United States;Business;5;5
Stocktwits;United States;Business;5;5
StorageReview.com;United States;Généraliste;5;5
Storyboard18;India;Généraliste;5;5
Sudan Horizon;Sudan;Généraliste;5;5
Sunsirs;China;Généraliste;5;5
Supply Chain Dive;United States;Business;5;5
TCI SUN;Turks and Caicos Islands;Généraliste;5;5
TICE News;United Kingdom;Généraliste;5;5
TMX Newsfile;Canada;Généraliste;5;5
TRT Afrika;Turkey;Généraliste;5;5
TWZ;United States;Tensions/guerre/violences/géopolitique;5;5
Taipei Times;Taiwan;Généraliste;5;5
Team Rubicon;United States;Généraliste;5;5
Tech Policy Press;United States;Tech;5;5
Tech Times;United States;Tech;5;5
Tech Xplore;United Kingdom;Tech;5;5
TechAfrica News;South Africa;Tech;5;5
TechBuzz News;United States;Tech;5;5
TechCrunch;United States;Tech;4;5
TechNode;China;Tech;3;5
TechPowerUp;Germany;Tech;5;5
TechRadar;United Kingdom;Tech;5;5
TechRepublic;United States;Tech;5;5
TechStock²;Romania;Tech;5;5
TechTarget;United States;Tech;5;5
Techdirt.;United States;Tech;5;5
Technobezz;United States;Tech;5;5
Technology;Lithuania;Tech;5;5
TelecomTalk;India;Généraliste;5;5
TelegraphHerald.com;United States;Généraliste;5;5
Telehealth.org;United States;Business;5;5
Telex;Hungary;Généraliste;2;2
Telugu Times;India;Généraliste;5;5
Temple Daily Telegram;United States;Local/Régional;5;5
The Africa Report;France;Généraliste;5;5
The American Bazaar;United States;Généraliste;5;5
The Arkansas Democrat-Gazette;United States;Local/Régional;5;5
The Atlantic;United States;Généraliste;3;5
The Australian;Australia;Généraliste;5;5
The Borgen Project;United States;Tensions/guerre/violences/géopolitique;5;5
The Brussels Times;Belgium;Généraliste;5;5
The Bulletin (Bend);United States;Local/Régional;2;5
The Business Journals;United States;Business;5;5
The Business Standard;India;Business;5;5
The Business Times;Singapore;Business;5;5
The Business of Fashion;United Kingdom;Business;5;5
The Christian Science Monitor;Singapore;Généraliste;5;5
The Conversation;Australia;Généraliste;5;5
The Daily Yonder;United States;Local/Régional;5;5
The Des Moines Register;United States;Local/Régional;5;5
The Detroit News;United States;Local/Régional;5;5
The Diplomat;United States;Tensions/guerre/violences/géopolitique;3;2
The Dispatch;United States;Politique américaine;5;5
The Eastleigh Voice;Kenya;Local/Régional;5;5
The Economic Times;India;Business;5;5
The Economist;United Kingdom;Business;5;5
The Edge Malaysia;Malaysia;Généraliste;5;5
The Fast Mode;United States;Généraliste;5;5
The Global Legal Post;United Kingdom;Généraliste;5;5
The Globe and Mail;Canada;Généraliste;5;5
The Guardian;United Kingdom;Généraliste;2;1
The Guardian Nigeria News;Nigeria;Généraliste;5;5
The Herald Journal;United States;Local/Régional;5;5
The Hill;United States;Politique américaine;3;1
The Hindu;India;Généraliste;5;1
The Hollywood Reporter;United States;Société/Culture/Positif;5;5
The Independent;United Kingdom;Généraliste;5;5
The Information;United States;Tech;2;5
The Intercept;United States;Généraliste;5;5
The Jamestown Foundation;United States;Tensions/guerre/violences/géopolitique;3;5
The Japan Times;Japan;Généraliste;5;5
The Jersey Vindicator;United States;Local/Régional;5;5
The Jerusalem Post;Israel;Généraliste;5;1
The Killeen Daily Herald;United States;Local/Régional;5;5
The Korea Herald;South Korea;Généraliste;5;5
The Korea Times;South Korea;Généraliste;5;5
The Law Society Gazette;United Kingdom;Généraliste;5;5
The Malaysian Reserve;Malaysia;Généraliste;5;5
The Manila Times;Philippines;Généraliste;5;5
The Morning Context;India;Généraliste;5;5
The Motley Fool;United States;Business;5;5
The Nation;Thailand;Généraliste;5;5
The Nation Newspaper;Nigeria;Généraliste;5;5
The National CIO Review;United States;Généraliste;5;5
The National Law Review;United States;Généraliste;5;5
The Nevada Independent;United States;Politique américaine;5;5
The New Republic;United States;Politique américaine;5;5
The New York Times;United States;Généraliste;5;5
The New Yorker;United States;Généraliste;5;5
The Organization for World Peace;Australia;Tensions/guerre/violences/géopolitique;5;5
The Parliament Magazine;Belgium;Politique;5;5
The Paypers;Netherlands;Généraliste;5;5
The Peninsula Qatar;Qatar;Généraliste;5;5
The Province;Canada;Généraliste;5;5
The Quad-City Times;United States;Local/Régional;5;5
The Quantum Insider;United States;Tech;5;5
The Recursive;Bulgaria;Généraliste;5;5
The Register;United Kingdom;Tech;5;5
The Reminder;United States;Généraliste;5;5
The Rome News-Tribune;United States;Local/Régional;5;5
The San Joaquin Valley Sun;United States;Local/Régional;5;5
The Seattle Times;United States;Local/Régional;5;5
The Singju Post;India;Généraliste;5;5
The Spec;United States;Généraliste;5;5
The Spinoff;New Zealand;Généraliste;5;5
The Star;United States;Généraliste;5;5
The Stein Line;United States;Généraliste;5;5
The Straits Times;Singapore;Généraliste;5;5
The Sunday Guardian;India;Généraliste;5;5
The Tech Buzz;India;Tech;5;5
The Times of India;India;Généraliste;5;5
The Times of Israel;Israel;Généraliste;5;5
The Verge;United States;Tech;4;2
The Voice of Africa;United States;Généraliste;5;5
The Washington Post;United States;Généraliste;5;5
The White House (.gov);United States;Politique américaine;1;3
The sun;United Kingdom;Généraliste;5;5
TheCable;Nigeria;Généraliste;5;5
TheDesk.net;United States;Généraliste;5;5
Think Global Health;United States;Généraliste;5;5
Time Magazine;United States;Généraliste;5;5
Times Herald-Record;United States;Local/Régional;5;5
Times of Karachi;Pakistan;Généraliste;5;5
TipRanks;Israel;Généraliste;5;5
Tokyo Weekender;Japan;Généraliste;5;5
Tom's Hardware;United States;Généraliste;5;5
Tomorrow's World Today;United States;Généraliste;5;5
Toronto Star;Canada;Généraliste;5;5
Toronto Sun;Canada;Généraliste;5;5
Total Croatia;Croatia;Généraliste;5;5
Totally The Bomb;United States;Généraliste;5;5
Tracxn;India;Généraliste;5;5
TradeKaizen;United Kingdom;Généraliste;5;5
TradingKey;Singapore;Business;5;5
TradingView;United States;Business;5;5
TravelMole;United States;Généraliste;5;5
U.S. Department of State (.gov);United States;Politique;5;5
U.S. Department of War (.gov);United States;Tensions/guerre/violences/géopolitique;5;5
UA.NEWS;United States;Généraliste;5;5
UEFA.com;Switzerland;Sports;5;5
UN News;United States;Politique;5;2
UN World Food Programme;Italy;Environnement;5;5
UNESCO;France;Généraliste;5;5
US Top News and Analysis;United States;Généraliste;5;5
USA Today;United States;Généraliste;5;5
USNI News;United States;Tensions/guerre/violences/géopolitique;2;5
UnHerd;United Kingdom;Généraliste;5;5
Unite with Priti;India;Politique américaine;5;5
UploadVR;United States;Généraliste;5;5
Upstream Online;Norway;Business;5;5
VICE;Canada;Généraliste;5;5
VSquare;Hungary;Tensions/guerre/violences/géopolitique;3;2
VTDigger;United States;Local/Régional;5;5
Valley News Live;United States;Local/Régional;5;5
Valor International;South Africa;Généraliste;5;5
Variety;United States;Société/Culture/Positif;5;5
Vatican News;Vatican City;Généraliste;5;5
VentureBeat;United States;Tech;4;5
Venturebeat;United States;Tech;5;5
Vino Joy News;Hong-Kong;Généraliste;5;5
Virginia Business;United States;Local/Régional;5;5
Vogue;United States;Société/Culture/Positif;5;5
WAJR;United States;Local/Régional;5;5
WANA News Agency;Iran;Généraliste;5;5
WBOY.com;United States;Local/Régional;5;5
WDIO.com;United States;Local/Régional;5;5
WDTV 5;United States;Local/Régional;5;5
WECT | TV6;United States;Local/Régional;5;5
WEEX;Singapore;Local/Régional;5;5
WETM;United States;Local/Régional;5;5
WFAA;United States;Local/Régional;5;5
WFLX;United States;Local/Régional;5;5
WFMZ.com;United States;Local/Régional;5;5
WFSU News;United States;Local/Régional;5;5
WHAS11;United States;Local/Régional;5;5
WHTC;United States;Local/Régional;5;5
WION;India;Généraliste;5;5
WIRED;United States;Tech;5;5
WISN;United States;Local/Régional;5;5
WJAC;United States;Local/Régional;5;5
WKYT;United States;Local/Régional;5;5
WLWT;United States;Local/Régional;5;5
WMBF;United States;Local/Régional;5;5
WPBF;United States;Local/Régional;5;5
WPDE;United States;Local/Régional;5;5
WQAD;United States;Local/Régional;5;5
WRAL;United States;Local/Régional;5;5
WRDW;United States;Local/Régional;5;5
WSBT;United States;Local/Régional;5;5
WSET;United States;Local/Régional;5;5
WSJ;United States;Business;5;5
WTAE;United States;Local/Régional;5;5
WTAP;United States;Local/Régional;5;5
WTAQ;United States;Local/Régional;5;5
WTOV;United States;Local/Régional;5;5
WVUA 23;United States;Local/Régional;5;5
WWMT;United States;Local/Régional;5;5
WXOW;United States;Local/Régional;5;5
WZTV;United States;Local/Régional;5;5
Wandile Sihlobo | Substack;South Africa;Généraliste;5;5
Washington Blade;United States;Politique américaine;5;5
Washington Examiner;United States;Politique américaine;5;5
Washington Times;United States;Politique américaine;5;5
Welcome to the United Nations;United States;Politique;5;5
West Ham United;United Kingdom;Sports;5;5
Whitman County Gazette;United States;Local/Régional;5;5
Wilkes-Barre Citizens' Voice;United States;Local/Régional;5;5
WinBuzzer;Germany;Généraliste;5;5
Windows Central;United States;Généraliste;5;5
World Central Kitchen;United States;Généraliste;5;5
World Nuclear News;United Kingdom;Environnement;5;5
World Oil;United States;Business;5;5
World Soccer Talk;United States;Sports;5;5
Wowtale;India;Généraliste;5;5
Xinhua;China;Généraliste;3;3
Y Combinator;United States;Tech;2;5
Yahoo;United States;Généraliste;5;5
Yahoo Finance;United States;Business;4;4
Yahoo Finance Australia;Australia;Business;5;4
Yahoo Finance UK;United Kingdom;Business;5;4
Yahoo Lifestyle Singapore;Singapore;Société/Culture/Positif;5;5
Yahoo News New Zealand;New Zealand;Généraliste;5;5
Yahoo News Singapore;Singapore;Généraliste;5;5
Yahoo News UK;United Kingdom;Généraliste;5;5
Yahoo Sports;United States;Sports;5;5
Yahoo Sports Canada;Canada;Sports;5;5
Yahoo Tech;United States;Tech;5;5
Yahoo! Finance Canada;Canada;Business;5;4
Yale E360;United States;Environnement;5;5
Zacks Investment Research;United States;Business;5;5
Zamin.uz;Uzbekistan;Généraliste;5;5
Zee Business;India;Business;5;5
a16z crypto;United States;Tech;5;5
aciafrica.org;Kenya;Généraliste;5;5
africanews.com;France;Généraliste;5;5
afrobasket.com;Luxembourg;Sports;5;5
allAfrica.com;South Africa;Généraliste;5;5
beIN SPORTS;Qatar;Sports;5;5
bgr.com;United States;Généraliste;5;5
blockchain.news;United Kingdom;Business;5;5
blog.google;United Kingdom;Tech;5;5
capacityglobal.com;United Kingdom;Généraliste;5;5
careers.state.gov;United States;Politique américaine;5;5
changelog.com;United States;Tech;5;5
chinadailyasia.com;China;Généraliste;5;5
citybiz;United States;Business;5;5
connect.brookings.edu;United States;Tensions/guerre/violences/géopolitique;5;5
crypto.news;Seychelles;Business;5;5
diginomica;United Kingdom;Généraliste;5;5
digital terminal;India;Tech;5;5
dw.com;Germany;Généraliste;5;2
eciks.org;United States;Généraliste;5;5
fintechbiznews.com;India;Tech;5;5
fox56.com;United States;Local/Régional;5;5
fox61.com;United States;Local/Régional;5;5
freebeacon.com;United States;Généraliste;5;5
fundsforNGOs;India;Business;5;5
gHacks;Germany;Généraliste;5;5
guardonline.com;United States;Généraliste;5;5
hcamag.com;Australia;Généraliste;5;5
hitc.com;United Kingdom;Généraliste;5;5
iCrossing;United States;Généraliste;5;5
inc.com;United States;Business;5;5
intrafish.com;Norway;Business;5;5
ioplus.nl;Netherlands;Généraliste;5;5
ixbt.games;Russia;Généraliste;5;5
jdjournal.com;United States;Généraliste;5;5
lockhaven.com;United States;Généraliste;5;5
marketech apac;Philippines;Tech;5;5
markets.businessinsider.com;United States;Business;5;5
marketscreener.com;France;Business;5;5
mauinews.com;United States;Généraliste;5;5
middleeastevents.com;United Arab Emirates;Généraliste;5;5
moneywise.com;Canada;Généraliste;5;5
mynbc15.com;United States;Généraliste;5;5
nationaljeweler.com;United States;Généraliste;5;5
news.cgtn.com;China;Généraliste;5;5
newsroom.churchofjesuschrist.org;United States;Généraliste;5;5
nippon.com;Japan;Généraliste;5;5
olympics.com;Switzerland;Sports;5;5
orfonline.org;India;Politique;5;5
outlookbusiness.com;India;Business;5;5
pan african visions;United States;Généraliste;5;5
pedestrian.tv;Australia;Généraliste;5;5
playday.one;United States;Généraliste;5;5
producthunt.com;United States;Généraliste;5;5
pushsquare.com;United Kingdom;Généraliste;5;5
qz.com;United States;Business;5;5
renaissancecapital.com;United States;Business;5;5
rg.org;United States;Généraliste;5;5
rpc.state.gov;United States;Politique américaine;5;5
scanx.trade;India;Généraliste;5;5
sekbernews.id;Bermuda;Généraliste;5;5
sify.com;India;Généraliste;5;5
sightmagazine.com.au;Australia;Généraliste;5;5
simplywall.st;Australia;Business;5;5
southcom.mil;United States;Généraliste;5;5
southernminn.com;United States;Généraliste;5;5
sportingnews.com;United States;Sports;5;5
spyglass.org;United Kingdom;Généraliste;5;5
ssa.foodsecurityportal.org;United States;Tensions/guerre/violences/géopolitique;5;5
starnewskorea.com;South Korea;Généraliste;5;5
statnews.com;United States;Business;5;5
stripehype.com;United States;Généraliste;5;5
tech.eu;Belgium;Tech;3;5
thebambooworks.com;China;Généraliste;5;5
thebanner.com;United States;Généraliste;5;5
thedeepdive.ca;Canada;Généraliste;5;5
thedefiant.io;United States;Business;5;5
thelec.net;South Korea;Généraliste;5;5
thestreet.com;United States;Généraliste;5;5
thetraveler.org;Italy;Généraliste;5;5
theweek.in;India;Généraliste;5;5
tovima.com;Greece;Généraliste;5;5
trendingtopics.eu;Australia;Généraliste;5;5
unchainedcrypto.com;United States;Business;5;5
unicef usa;United States;Généraliste;5;5
unifor.org;Canada;Généraliste;5;5
upi.com;United States;Généraliste;5;5
varindia.com;India;Généraliste;5;5
vijesti.me;Montenegro;Généraliste;5;5
wbbjtv.com;United States;Généraliste;5;5
wdtimes.com;United States;Généraliste;5;5
wyomingnewsnow.tv;United States;Généraliste;5;5
Судово-юридична газета;Ukraine;Généraliste;5;5
اسلام تايمز;Lebanon;Généraliste;5;5
ایران اینترنشنال;United Kingdom;Généraliste;5;5
شبكة يافا الإخبارية;Palestine;Généraliste;5;5
شفق نيوز;Iraq;Généraliste;5;5
公益財団法人日本国際問題研究所;Japan;Généraliste;5;5
富途牛牛;Hong-Kong;Généraliste;5;5
常驻联合国代表团;China;Généraliste;5;5
朝日新聞;Japan;Généraliste;5;5
디지털투데이;South Korea;Généraliste;5;5
조선일보;South Korea;Généraliste;5;5
